Dataset,Model,MRR,Hits@1,Hits@3,Hits@10
WN18RR,HoGRN,0.38051,0.31541,0.4306,0.49059
FB15K-237-20,HoGRN,0.1748,0.11423,0.18581,0.29693
FB15K-237-10,HoGRN,0.1604,0.10697,0.16953,0.26567
FB15K-237-50,HoGRN,0.20964,0.13752,0.22599,0.35889
NELL23K,HoGRN,0.24512,0.1662,0.26939,0.4059
WD-singer,HoGRN,0.33553,0.25216,0.38198,0.48479
