Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,StruProKGR,0.49899,0.31626,0.40763,0.43576,0.25622,0.34599,0.53688,0.34960,0.44324,0.60234,0.41154,0.50694,934.817
FB15K-237-10,StruProKGR,0.24433,0.07708,0.16071,0.17367,0.03936,0.10652,0.26298,0.07595,0.16947,0.38841,0.15196,0.27018,16460.933
FB15K-237-20,StruProKGR,0.26886,0.09400,0.18143,0.19128,0.04869,0.11998,0.29036,0.09402,0.19219,0.42330,0.18596,0.30463,13344.922
FB15K-237-50,StruProKGR,0.30440,0.12207,0.21324,0.21937,0.06622,0.14279,0.33358,0.12713,0.23035,0.47582,0.23471,0.35526,11444.927
NELL23K,StruProKGR,0.29035,0.18926,0.23981,0.20441,0.12893,0.16667,0.31617,0.20860,0.26238,0.47335,0.30150,0.38743,1778.787
