Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,AnyBURL,0.46427,0.31465,0.38946,0.39946,0.25738,0.32842,0.50250,0.33954,0.42102,0.56514,0.40581,0.48547,106.600
FB15K-237-10,AnyBURL,0.22272,0.06464,0.14368,0.15791,0.03207,0.09499,0.24116,0.06457,0.15287,0.34634,0.12948,0.23791,112.002
WN18RR,AnyBURL,0.51090,0.45706,0.48398,0.47160,0.41832,0.44496,0.52904,0.46873,0.49888,0.57817,0.53159,0.55488,110.081
FB15K-237-20,AnyBURL,0.25689,0.08798,0.17244,0.18012,0.04384,0.11198,0.27377,0.08864,0.18120,0.40746,0.17425,0.29086,117.248
FB15K-237-50,AnyBURL,0.30971,0.12815,0.21893,0.22176,0.06874,0.14525,0.33438,0.13432,0.23435,0.48465,0.24636,0.36550,141.441
NELL23K,AnyBURL,0.25665,0.17103,0.21384,0.17974,0.11646,0.14810,0.27153,0.18237,0.22695,0.40639,0.26466,0.33552,106.786
