Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,point.rs.conve,0.35566,0.21172,0.28369,0.28461,0.16841,0.22651,0.39265,0.21970,0.30617,0.47798,0.27508,0.37653,14.206
FB15K-237-10,point.rs.conve,0.22353,0.03483,0.12918,0.16281,0.01284,0.08782,0.24116,0.02705,0.13410,0.33680,0.05840,0.19760,31.896
WN18RR,point.rs.conve,0.40905,0.35323,0.38114,0.35801,0.31174,0.33488,0.42629,0.35290,0.38960,0.49234,0.40619,0.44927,98.070
FB15K-237-20,point.rs.conve,0.24820,0.04212,0.14516,0.17820,0.01588,0.09704,0.26977,0.03393,0.15185,0.38097,0.07453,0.22775,41.962
FB15K-237-50,point.rs.conve,0.28742,0.05487,0.17114,0.20798,0.02175,0.11486,0.31229,0.04773,0.18001,0.44489,0.09816,0.27153,85.206
NELL23K,point.rs.conve,0.19660,0.08185,0.13922,0.13389,0.05291,0.09340,0.20820,0.07956,0.14388,0.31684,0.11733,0.21708,22.861
