Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,conve,0.46561,0.30932,0.38747,0.39809,0.25511,0.32660,0.50567,0.34362,0.42465,0.58103,0.39900,0.49001,2215.198
FB15K-237-10,conve,0.25605,0.08357,0.16981,0.18050,0.04242,0.11146,0.27598,0.08287,0.17942,0.41030,0.16231,0.28631,4354.300
WN18RR,conve,0.49961,0.45035,0.47498,0.45533,0.41161,0.43347,0.51787,0.46171,0.48979,0.58073,0.52967,0.55520,6877.924
FB15K-237-20,conve,0.27450,0.09647,0.18549,0.19296,0.04809,0.12052,0.29475,0.09552,0.19514,0.44493,0.19332,0.31912,9665.684
FB15K-237-50,conve,0.30887,0.12321,0.21604,0.21826,0.06480,0.14153,0.33665,0.12729,0.23197,0.49803,0.24178,0.36991,16286.841
NELL23K,conve,0.29390,0.19551,0.24471,0.20315,0.13247,0.16781,0.31624,0.21244,0.26434,0.48748,0.31765,0.40256,2477.552
