Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,AnyBURL,0.53176,0.36792,0.44984,0.44848,0.30050,0.37449,0.56605,0.39310,0.47957,0.68770,0.47889,0.58330,106.600
FB15K-237-10,AnyBURL,0.30328,0.14410,0.22369,0.21300,0.08656,0.14978,0.33135,0.14656,0.23895,0.47857,0.24931,0.36394,112.002
WN18RR,AnyBURL,0.53178,0.48089,0.50633,0.48947,0.43618,0.46283,0.54371,0.49394,0.51883,0.59604,0.56286,0.57945,110.081
FB15K-237-20,AnyBURL,0.28959,0.12154,0.20557,0.20803,0.06670,0.13736,0.30724,0.12181,0.21453,0.45065,0.21941,0.33503,117.248
FB15K-237-50,AnyBURL,0.32346,0.14218,0.23282,0.23455,0.07882,0.15669,0.34919,0.14569,0.24744,0.49847,0.26117,0.37982,141.441
NELL23K,AnyBURL,0.38970,0.27931,0.33450,0.28973,0.20036,0.24505,0.42378,0.30287,0.36332,0.59179,0.42499,0.50839,106.786
