Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,Prob-CBR,0.19095,0.18709,0.18902,0.15570,0.16104,0.15836,0.21743,0.20529,0.21138,0.22606,0.21031,0.21820,10.246
FB15K-237-10,Prob-CBR,0.12819,0.03648,0.08234,0.08006,0.01372,0.04689,0.13570,0.03488,0.08529,0.21950,0.08083,0.15017,281.361
WN18RR,Prob-CBR,0.46904,0.42141,0.44523,0.41895,0.38896,0.40396,0.49458,0.42374,0.45916,0.54722,0.48532,0.51627,104.161
FB15K-237-20,Prob-CBR,0.21104,0.06659,0.13881,0.13789,0.02842,0.08316,0.22507,0.06452,0.14480,0.34830,0.14523,0.24676,697.036
FB15K-237-50,Prob-CBR,0.27935,0.10223,0.19079,0.19125,0.04581,0.11853,0.30112,0.10451,0.20281,0.45390,0.21841,0.33615,1814.737
NELL23K,Prob-CBR,0.18646,0.13670,0.16158,0.13146,0.09047,0.11097,0.19649,0.14358,0.17003,0.27625,0.21809,0.24717,102.254
