Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,LoGRe,0.50162,0.32672,0.41417,0.43927,0.26604,0.35265,0.53694,0.36179,0.44936,0.60040,0.41840,0.50940,10416.589
FB15K-237-10,LoGRe,0.24172,0.07388,0.15780,0.17129,0.03603,0.10366,0.25878,0.07317,0.16597,0.38269,0.15101,0.26685,33689.480
FB15K-237-20,LoGRe,0.26570,0.09094,0.17832,0.18878,0.04521,0.11700,0.28678,0.09093,0.18886,0.41979,0.18320,0.30149,42334.668
NELL23K,LoGRe,0.29288,0.18917,0.24102,0.20584,0.12925,0.16754,0.31702,0.20636,0.26169,0.47530,0.29275,0.38403,15778.697
FB15K-237-50,LoGRe,0.29740,0.11794,0.20767,0.21169,0.06063,0.13616,0.32600,0.12483,0.22542,0.46691,0.23135,0.34913,27302.290
