Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,Prob-CBR,0.89017,0.96221,0.92610,0.82388,0.93841,0.88100,0.94961,0.98495,0.96724,0.99228,0.99635,0.99431,10.246
FB15K-237-10,Prob-CBR,0.43418,0.29830,0.36624,0.34722,0.23642,0.29182,0.46375,0.31295,0.38835,0.60523,0.42253,0.51388,281.361
WN18RR,Prob-CBR,0.65213,0.54755,0.59984,0.58328,0.49681,0.54004,0.67613,0.55329,0.61471,0.79451,0.64997,0.72224,104.161
FB15K-237-20,Prob-CBR,0.32210,0.18706,0.25458,0.24100,0.13355,0.18727,0.34208,0.19235,0.26722,0.48594,0.29278,0.38936,697.036
FB15K-237-50,Prob-CBR,0.30799,0.15927,0.23363,0.22373,0.10032,0.16203,0.33059,0.16690,0.24875,0.48175,0.27657,0.37916,1814.737
NELL23K,Prob-CBR,0.57043,0.39453,0.48248,0.49616,0.31684,0.40650,0.59976,0.42508,0.51242,0.71426,0.53776,0.62601,102.254
