Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,LoGRe,0.46040,—,—,0.40626,—,—,0.49251,—,—,0.55061,—,—,—
FB15K-237-10,LoGRe,0.22751,—,—,0.16187,—,—,0.24364,—,—,0.35983,—,—,—
FB15K-237-20,LoGRe,0.26082,—,—,0.18548,—,—,0.28160,—,—,0.41222,—,—,—
FB15K-237-50,LoGRe,0.29624,—,—,0.21202,—,—,0.32479,—,—,0.46487,—,—,—
NELL23K,LoGRe,0.25865,—,—,0.18376,—,—,0.27928,—,—,0.41761,—,—,—
