Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
WD-singer,StruProKGR,0.52829,—,—,0.45188,—,—,0.56961,—,—,0.65804,—,—,—
FB15K-237-10,StruProKGR,0.25454,—,—,0.18029,—,—,0.27391,—,—,0.40439,—,—,—
FB15K-237-20,StruProKGR,0.27331,—,—,0.19470,—,—,0.29516,—,—,0.42942,—,—,—
FB15K-237-50,StruProKGR,0.30741,—,—,0.22124,—,—,0.33639,—,—,0.48025,—,—,—
NELL23K,StruProKGR,0.32284,—,—,0.21880,—,—,0.35754,—,—,0.53204,—,—,—
